Member_number,Date,itemDescription
1808,21/07/15,tropical fruit
2552,05/01/15,whole milk
2300,19/09/15,pip fruit
1187,12/12/15,other vegetables
3037,01/02/15,whole milk
4941,14/02/15,rolls/buns
4501,08/05/15,other vegetables
3803,23/12/15,pot plants
2762,20/03/15,whole milk
4119,12/02/15,tropical fruit
1340,24/02/15,citrus fruit
2193,14/04/15,beef
1997,21/07/15,frankfurter
4546,03/09/15,chicken
4736,21/07/15,butter
1959,30/03/15,fruit/vegetable juice
1974,03/05/15,packaged fruit/vegetables
2421,02/09/15,chocolate
1513,03/08/15,specialty bar
1905,07/07/15,other vegetables
2810,08/09/15,butter milk
2867,12/11/15,whole milk
3962,18/09/15,tropical fruit
1088,30/11/15,tropical fruit
4976,17/07/15,bottled water
4056,12/06/15,yogurt
3611,13/02/15,sausage
1420,14/01/15,other vegetables
4286,08/03/15,brown bread
4918,27/01/15,yogurt
4783,22/10/15,hamburger meat
3709,26/10/15,root vegetables
4289,08/10/15,pork
1559,03/10/15,beef
2900,11/04/15,pastry
1905,21/02/15,fruit/vegetable juice
3527,29/09/15,canned beer
1495,09/01/15,root vegetables
3558,03/04/15,citrus fruit
3128,20/04/15,sausage
1863,04/08/15,tropical fruit
3841,19/07/15,berries
3903,06/10/15,canned beer
2658,16/10/15,butter milk
4272,06/06/15,coffee
1120,26/09/15,pastry
2676,15/08/15,rolls/buns
1697,21/05/15,misc. beverages
2507,25/08/15,root vegetables
4620,11/03/15,sausage
3365,01/02/15,canned beer
2978,05/06/15,ham
2910,28/07/15,turkey
1061,05/09/15,whole milk
3276,03/04/15,whole milk
1326,19/06/15,packaged fruit/vegetables
3023,28/07/15,rolls/buns
2185,11/10/15,ham
3552,16/06/15,rolls/buns
1967,20/01/15,other vegetables
4708,20/03/15,sausage
2874,15/02/15,sausage
4177,13/04/15,frankfurter
1663,07/02/15,rolls/buns
2632,02/03/15,whole milk
1377,14/03/15,curd cheese
4162,22/12/15,red/blush wine
2270,01/07/15,sausage
4829,03/11/15,tropical fruit
3811,14/04/15,red/blush wine
4766,29/09/15,whole milk
2436,12/04/15,frankfurter
3860,05/05/15,whole milk
4875,12/05/15,frozen potato products
1587,01/07/15,other vegetables
4038,08/07/15,citrus fruit
4750,21/09/15,flour
1199,10/12/15,sugar
1603,30/09/15,frozen meals
3111,31/01/15,chocolate
3894,13/12/15,root vegetables
1456,18/09/15,root vegetables
2022,04/03/15,herbs
2505,30/11/15,bottled water
4851,20/12/15,sausage
4293,04/08/15,coffee
2775,06/11/15,pork
3693,18/02/15,berries
1202,22/07/15,soda
3699,23/08/15,berries
4152,15/04/15,fruit/vegetable juice
4155,26/01/15,citrus fruit
4010,29/12/15,pork
4389,20/10/15,detergent
3746,17/08/15,grapes
2560,17/05/15,sausage
1503,25/07/15,chicken
2555,23/12/15,whole milk
3645,12/12/15,citrus fruit
3886,11/09/15,soda
2932,20/03/15,sausage
1711,18/06/15,frankfurter
4291,08/12/15,sausage
1143,25/04/15,soda
4564,08/07/15,rolls/buns
3337,14/05/15,beef
4931,04/05/15,whole milk
2623,10/10/15,processed cheese
4581,03/04/15,tropical fruit
2635,11/06/15,frankfurter
1095,30/10/15,packaged fruit/vegetables
2990,23/05/15,whole milk
2426,05/06/15,berries
4555,07/11/15,citrus fruit
3635,04/09/15,tropical fruit
3058,18/05/15,hamburger meat
4391,26/03/15,hamburger meat
1306,23/06/15,whole milk
1024,10/08/15,fish
1295,23/07/15,frankfurter
1661,01/06/15,packaged fruit/vegetables
4591,15/05/15,pastry
3169,14/06/15,other vegetables
3915,21/05/15,misc. beverages
1127,14/01/15,frankfurter
4828,08/08/15,sparkling wine
3683,10/06/15,specialty bar
1971,18/09/15,sausage
3014,11/11/15,curd cheese
3779,15/09/15,frankfurter
2489,04/05/15,whole milk
3564,27/06/15,newspapers
4092,30/09/15,berries
3221,13/01/15,curd
1279,06/09/15,tropical fruit
2581,22/08/15,soda
2295,25/02/15,rolls/buns
4760,22/02/15,canned beer
3649,16/01/15,canned beer
1075,19/11/15,frankfurter
3987,19/08/15,other vegetables
4106,25/08/15,whole milk
4338,24/06/15,whole milk
4166,06/11/15,citrus fruit
1211,10/03/15,frankfurter
3954,21/01/15,frankfurter
3928,18/07/15,butter milk
3827,30/09/15,hamburger meat
4699,08/02/15,pasta
4747,08/06/15,other vegetables
3028,09/06/15,sausage
2851,16/03/15,rolls/buns
4417,25/02/15,grapes
3822,07/03/15,root vegetables
2288,31/05/15,coffee
2184,30/06/15,popcorn
4554,27/08/15,whole milk
3361,05/03/15,tropical fruit
2999,17/04/15,beef
2614,25/06/15,whole milk
4064,05/06/15,frankfurter
3567,04/10/15,tropical fruit
2587,07/05/15,canned beer
3783,17/06/15,finished products
1923,14/02/15,beverages
4835,19/02/15,hamburger meat
1514,24/08/15,whole milk
3154,22/06/15,finished products
1313,25/12/15,other vegetables
2794,18/07/15,ham
2359,09/04/15,other vegetables
2238,09/03/15,curd
3795,17/01/15,bottled beer
3724,26/11/15,curd
1152,05/03/15,whole milk
4559,16/03/15,whole milk
3922,27/02/15,dessert
1709,22/04/15,sausage
2219,17/04/15,other vegetables
2206,17/10/15,ham
1752,06/04/15,other vegetables
3942,10/11/15,other vegetables
3296,17/08/15,soda
2257,05/02/15,herbs
4313,28/07/15,frankfurter
2001,21/08/15,rolls/buns
2449,08/07/15,curd
4914,12/04/15,frankfurter
2764,24/07/15,other vegetables
4187,09/05/15,dog food
1392,20/04/15,specialty bar
3427,28/04/15,curd
1411,20/02/15,frankfurter
3390,14/11/15,soda
4787,01/08/15,beef
3310,17/01/15,canned beer
1782,10/10/15,pork
3375,26/04/15,frankfurter
2760,07/01/15,sausage
4249,13/09/15,canned beer
2904,06/06/15,specialty chocolate
4090,26/02/15,curd
3060,05/07/15,canned beer
3768,07/10/15,whole milk
1232,21/01/15,rolls/buns
1360,23/10/15,pork
1107,01/10/15,citrus fruit
2865,04/11/15,pot plants
2958,14/06/15,rolls/buns
2448,12/07/15,butter
1222,24/09/15,condensed milk
2943,20/06/15,sausage
2270,11/08/15,whole milk
3812,21/07/15,sausage
1482,22/11/15,beverages
4720,22/02/15,beverages
1344,04/09/15,bottled water
2397,04/10/15,newspapers
4182,12/05/15,cleaner
4487,10/07/15,sausage
3467,24/12/15,newspapers
2443,15/11/15,sausage
2749,27/01/15,misc. beverages
4389,13/04/15,white wine
1674,04/12/15,sausage
4262,16/10/15,meat
2082,07/04/15,frankfurter
4494,06/01/15,ice cream
2460,28/09/15,canned beer
4509,29/11/15,tropical fruit
2267,03/07/15,meat
4891,05/09/15,whole milk
3962,20/09/15,sausage
4964,18/07/15,frankfurter
2914,30/11/15,meat
2808,05/05/15,root vegetables
1085,15/08/15,root vegetables
3808,18/08/15,whole milk
4149,07/01/15,citrus fruit
2331,05/06/15,citrus fruit
4475,03/04/15,other vegetables
2761,25/04/15,citrus fruit
2620,14/12/15,sausage
3206,13/10/15,frankfurter
1226,13/04/15,hard cheese
1395,07/03/15,cream cheese 
2465,07/06/15,turkey
3572,09/07/15,pork
4387,08/05/15,whole milk
1555,27/03/15,rolls/buns
1181,16/11/15,sausage
2814,11/05/15,ice cream
2794,16/09/15,liquor
2912,28/01/15,pip fruit
4667,12/01/15,root vegetables
2235,25/10/15,soda
2353,02/05/15,soda
3449,08/03/15,sausage
1058,10/11/15,root vegetables
1027,17/05/15,pork
3302,22/05/15,pork
2229,30/05/15,chocolate
2188,15/08/15,fruit/vegetable juice
1547,18/04/15,pickled vegetables
1649,30/06/15,bottled water
3254,10/09/15,frankfurter
2818,07/11/15,tropical fruit
2703,08/05/15,canned beer
3332,31/01/15,root vegetables
2473,01/07/15,meat
2810,30/12/15,frankfurter
1033,22/04/15,tropical fruit
4222,27/05/15,tropical fruit
3679,21/09/15,citrus fruit
2212,27/08/15,hamburger meat
1507,22/06/15,chicken
2870,21/01/15,chicken
3429,26/04/15,frankfurter
4148,09/04/15,canned beer
2970,30/12/15,turkey
2013,30/08/15,packaged fruit/vegetables
3967,30/05/15,pasta
2885,15/05/15,citrus fruit
3935,02/07/15,sausage
3283,01/05/15,whole milk
3268,06/11/15,canned beer
3677,30/04/15,citrus fruit
3495,27/06/15,liquor (appetizer)
1410,04/10/15,citrus fruit
2440,06/06/15,sausage
4088,13/01/15,chicken
2469,23/09/15,hamburger meat
4229,06/03/15,sausage
2728,02/08/15,beef
4694,25/01/15,citrus fruit
2836,29/12/15,UHT-milk
1311,12/02/15,candy
1760,23/01/15,newspapers
3656,02/03/15,beef
3720,28/05/15,sausage
2996,26/09/15,frankfurter
1949,22/07/15,canned beer
4498,11/02/15,bottled beer
2447,28/12/15,onions
1952,23/03/15,tropical fruit
4099,27/01/15,bottled water
1804,12/03/15,beef
1510,16/05/15,sausage
2879,18/04/15,hair spray
4899,12/03/15,chicken
4326,29/09/15,pork
1670,17/05/15,ice cream
1117,24/05/15,meat
1346,03/04/15,other vegetables
1178,15/11/15,bottled water
1649,25/06/15,tropical fruit
4651,21/06/15,photo/film
4243,02/04/15,sausage
4429,21/07/15,grapes
4645,25/07/15,domestic eggs
4019,24/07/15,rolls/buns
4459,26/04/15,tropical fruit
3006,27/12/15,chicken
1834,17/09/15,frankfurter
3236,04/07/15,berries
1765,11/03/15,margarine
3855,09/03/15,tropical fruit
4392,28/11/15,ham
3330,26/07/15,hamburger meat
1723,02/09/15,yogurt
4110,30/03/15,soda
2600,28/01/15,yogurt
2946,07/10/15,soda
2426,08/09/15,bottled water
4170,03/05/15,sausage
1109,06/04/15,citrus fruit
3429,04/01/15,shopping bags
2055,04/02/15,newspapers
2480,20/09/15,frankfurter
2441,30/05/15,sausage
1054,04/10/15,frankfurter
4818,11/01/15,salt
3379,21/01/15,oil
3939,10/02/15,curd
1367,05/08/15,other vegetables
1043,10/01/15,citrus fruit
2231,17/10/15,frankfurter
3235,28/12/15,root vegetables
4554,16/07/15,tropical fruit
3245,24/01/15,beef
2996,19/05/15,berries
2507,05/01/15,canned beer
4186,25/10/15,whipped/sour cream
3929,28/04/15,root vegetables
3760,22/11/15,whole milk
4928,18/08/15,beef
4217,18/12/15,frozen vegetables
1174,11/02/15,rolls/buns
4103,19/06/15,whole milk
4408,13/03/15,whole milk
2588,28/12/15,citrus fruit
2598,11/11/15,pastry
1518,11/12/15,frankfurter
2702,08/04/15,tropical fruit
1001,20/01/15,frankfurter
2270,30/09/15,berries
2838,10/11/15,rolls/buns
1683,26/05/15,root vegetables
4040,03/04/15,yogurt
3897,23/08/15,other vegetables
2200,11/03/15,berries
4073,29/01/15,berries
3700,19/04/15,other vegetables
3973,10/06/15,rolls/buns
2715,06/07/15,ham
3967,23/11/15,whole milk
4002,03/09/15,tropical fruit
2962,01/03/15,bottled water
4340,25/12/15,butter milk
2092,06/11/15,newspapers
3143,24/05/15,coffee
2209,03/10/15,bottled beer
2816,22/08/15,onions
2659,01/06/15,hamburger meat
1588,13/10/15,sausage
1144,15/10/15,hard cheese
2166,10/12/15,sausage
3300,06/10/15,hamburger meat
3944,03/01/15,onions
4979,24/04/15,coffee
2630,21/01/15,shopping bags
4240,29/04/15,yogurt
2357,08/07/15,soda
1743,18/04/15,sliced cheese
2331,15/02/15,sausage
1643,28/04/15,yogurt
1291,20/03/15,domestic eggs
3675,04/07/15,whole milk
4134,06/11/15,meat
1363,21/06/15,dish cleaner
4212,01/05/15,other vegetables
1500,21/03/15,whole milk
2622,01/10/15,other vegetables
3543,18/03/15,tropical fruit
2525,24/05/15,baking powder
1264,12/10/15,specialty bar
3601,06/07/15,ice cream
1771,23/03/15,frankfurter
4694,06/02/15,canned beer
1122,21/12/15,bottled water
3507,12/08/15,other vegetables
4524,26/04/15,citrus fruit
3612,27/09/15,sausage
3262,11/06/15,domestic eggs
1897,25/01/15,pork
1656,30/10/15,specialty cheese
3953,10/01/15,pork
1488,21/06/15,beef
1652,17/03/15,other vegetables
4953,16/09/15,chicken
3445,30/04/15,soda
3180,15/03/15,whole milk
4934,06/09/15,rolls/buns
2980,27/04/15,bottled beer
2763,13/02/15,root vegetables
4819,04/03/15,pastry
3169,02/07/15,berries
1850,11/03/15,citrus fruit
4285,29/12/15,whole milk
4366,13/08/15,soda
2253,16/06/15,bottled water
3398,11/03/15,tropical fruit
2215,22/07/15,salty snack
3737,03/03/15,bottled water
2649,28/11/15,chocolate
3203,07/08/15,citrus fruit
4261,16/02/15,bottled water
2435,17/07/15,onions
2046,21/08/15,dessert
4267,11/02/15,beef
1086,28/12/15,rolls/buns
1992,04/01/15,beef
3622,26/07/15,soda
4700,27/06/15,coffee
2272,16/05/15,rolls/buns
1663,19/05/15,pork
2519,03/06/15,soda
2639,30/10/15,sausage
1466,19/04/15,beef
4122,23/10/15,whole milk
3598,15/04/15,pork
3097,10/08/15,berries
1873,19/09/15,sausage
1537,01/02/15,bottled water
3960,25/03/15,tropical fruit
1136,15/06/15,herbs
2453,21/12/15,yogurt
1746,15/02/15,Instant food products
3572,09/06/15,specialty chocolate
3246,24/06/15,coffee
3207,26/11/15,bottled beer
1042,12/02/15,beef
1176,30/03/15,whole milk
3054,23/02/15,frankfurter
4486,02/12/15,frankfurter
1580,05/12/15,other vegetables
1623,02/11/15,frankfurter
4169,24/11/15,whole milk
2254,24/01/15,frankfurter
