Member_number,Date,itemDescription
4559,01/09/14,rolls/buns
3213,02/07/14,soda
3972,14/08/14,pip fruit
4935,16/02/14,bottled beer
4198,10/11/14,whole milk
1139,02/02/14,rolls/buns
4959,10/10/14,rolls/buns
1550,03/09/14,domestic eggs
3536,04/04/14,whole milk
4697,03/11/14,butter milk
3164,24/03/14,pip fruit
4640,03/11/14,rolls/buns
2986,05/11/14,UHT-milk
1878,22/08/14,shopping bags
1037,24/02/14,tropical fruit
3863,10/03/14,soda
1534,05/11/14,pork
1109,22/11/14,pip fruit
2381,07/05/14,whole milk
3787,25/09/14,domestic eggs
4628,02/07/14,bottled water
3157,08/10/14,newspapers
2535,29/12/14,pip fruit
1006,05/07/14,bottled water
3897,04/11/14,brown bread
2804,19/09/14,other vegetables
3804,21/09/14,domestic eggs
3060,18/08/14,other vegetables
3158,06/05/14,bottled beer
2651,11/09/14,turkey
2036,02/02/14,whole milk
3362,31/05/14,pip fruit
3511,04/06/14,whole milk
3083,27/05/14,waffles
2193,23/10/14,specialty bar
2733,04/01/14,soda
3158,03/09/14,hamburger meat
4794,02/10/14,root vegetables
4515,24/04/14,other vegetables
1171,04/08/14,other vegetables
2375,25/03/14,sausage
1234,12/05/14,curd
3488,25/06/14,curd
1118,09/12/14,berries
1754,30/06/14,root vegetables
3772,30/07/14,pot plants
4906,11/03/14,sausage
3727,06/07/14,citrus fruit
4502,13/09/14,whole milk
3329,04/06/14,cream cheese 
4342,17/04/14,whole milk
4659,05/10/14,frozen dessert
2359,05/07/14,whole milk
4133,17/02/14,root vegetables
1777,02/04/14,margarine
1696,06/09/14,whole milk
2888,04/05/14,pastry
2166,11/10/14,bottled water
1780,07/10/14,sugar
2477,01/04/14,root vegetables
3344,14/01/14,rolls/buns
3658,08/05/14,beef
4106,18/07/14,coffee
1810,07/09/14,pork
2698,31/03/14,bottled water
2470,13/12/14,pork
3122,30/09/14,other vegetables
4637,08/12/14,bottled water
3435,29/05/14,hamburger meat
3982,13/02/14,canned beer
1297,31/01/14,yogurt
2935,03/01/14,rolls/buns
2625,24/09/14,pork
2830,19/07/14,hamburger meat
1347,22/07/14,berries
3768,30/06/14,ham
4709,08/08/14,other vegetables
3544,03/09/14,dessert
1525,25/10/14,ham
2339,26/03/14,whole milk
1268,22/07/14,whole milk
4635,08/05/14,whole milk
4498,14/06/14,photo/film
4747,01/05/14,tropical fruit
1747,24/05/14,root vegetables
3396,13/07/14,packaged fruit/vegetables
2873,09/10/14,whole milk
2811,14/11/14,waffles
3549,29/07/14,berries
3675,06/02/14,pastry
2309,31/10/14,chicken
3112,16/11/14,whole milk
1905,02/06/14,cat food
2811,10/05/14,beef
1561,28/03/14,yogurt
1640,03/03/14,butter milk
2185,01/04/14,rolls/buns
1697,15/06/14,pip fruit
2102,04/12/14,root vegetables
4597,15/04/14,ice cream
3084,10/08/14,root vegetables
1479,24/04/14,tropical fruit
4840,15/04/14,margarine
2962,29/07/14,soda
3346,29/11/14,margarine
2789,29/05/14,yogurt
4915,18/03/14,rolls/buns
2989,25/03/14,whole milk
3150,13/07/14,whole milk
4729,22/03/14,whole milk
1077,29/09/14,white bread
4435,28/10/14,white bread
2291,14/08/14,pip fruit
3779,27/04/14,whole milk
2842,15/05/14,beef
2996,17/09/14,bottled beer
