Date,Region,Type,Units,Sales
44023,East,Children's Clothing,18,306
44097,North,Children's Clothing,14,448
43923,South,Women's Clothing,17,425
43889,East,Children's Clothing,26,832
43909,West,Women's Clothing,3,33
43866,North,Women's Clothing,33,627
43854,South,Women's Clothing,12,396
43915,East,Women's Clothing,29,609
43833,North,Children's Clothing,18,486
44138,East,Children's Clothing,34,374
43937,South,Women's Clothing,16,352
44052,North,Men's Clothing,,270
43952,East,Men's Clothing,10,140
44054,East,Children's Clothing,12,348
43837,East,Men's Clothing,30,360
44161,West,Men's Clothing,27,864
43994,East,Women's Clothing,35,1050
44063,North,Children's Clothing,18,378
43998,North,Women's Clothing,34,884
43898,North,Men's Clothing,,644
44088,North,Children's Clothing,35,630
44005,West,Women's Clothing,18,288
44022,East,Children's Clothing,10,310
43834,North,Women's Clothing,19,361
44000,West,Men's Clothing,5,70
43974,North,Men's Clothing,,240
43862,East,Men's Clothing,21,420
44076,North,Children's Clothing,17,561
43849,East,Men's Clothing,3,63
44011,East,Women's Clothing,24,504
44025,West,Children's Clothing,30,450
44113,West,Men's Clothing,19,513
44185,East,Women's Clothing,30,930
44163,West,Men's Clothing,8,168
44139,East,Men's Clothing,19,475
44182,West,Children's Clothing,25,575
43852,North,Women's Clothing,23,276
43945,North,Men's Clothing,,900
44195,North,Children's Clothing,26,390
44131,East,Children's Clothing,18,450
43988,East,Women's Clothing,28,560
44053,North,Children's Clothing,22,242
43907,South,Children's Clothing,33,924
44080,East,Women's Clothing,11,363
43962,East,Men's Clothing,35,700
43950,East,Women's Clothing,14,462
44042,South,Children's Clothing,18,486
44066,North,Women's Clothing,27,324
43861,West,Men's Clothing,16,432
43874,West,Men's Clothing,24,552
44057,North,Women's Clothing,7,154
43996,East,Men's Clothing,32,416
44017,South,Women's Clothing,21,231
44066,East,Men's Clothing,20,540
44042,East,Women's Clothing,21,399
43952,North,Children's Clothing,31,837
43941,North,Children's Clothing,24,744
44035,South,Men's Clothing,27,351
44190,East,Men's Clothing,13,403
44025,North,Women's Clothing,15,375
44023,West,Women's Clothing,26,728
44005,West,Women's Clothing,20,360
43930,North,Men's Clothing,,493
44089,South,Children's Clothing,16,416
44132,East,Men's Clothing,34,986
44125,East,Men's Clothing,7,133
44069,North,Women's Clothing,31,961
43980,North,Women's Clothing,18,522
44109,North,Women's Clothing,25,375
43997,North,Men's Clothing,,247
44166,West,Children's Clothing,31,992
44139,South,Men's Clothing,28,868
43878,West,Men's Clothing,27,891
43959,West,Children's Clothing,28,784
43894,South,Children's Clothing,27,756
43897,North,Women's Clothing,11,363
44057,North,Children's Clothing,34,1088
44164,North,Men's Clothing,,276
43936,North,Men's Clothing,,304
43980,North,Men's Clothing,,348
44165,North,Men's Clothing,,180
44176,South,Women's Clothing,13,429
44018,North,Children's Clothing,7,189
44168,East,Children's Clothing,9,117
44190,East,Children's Clothing,25,475
44154,East,Women's Clothing,8,256
43963,East,Women's Clothing,29,812
43984,East,Men's Clothing,14,224
43965,North,Women's Clothing,5,160
44046,East,Children's Clothing,33,462
44161,East,Women's Clothing,22,440
43831,East,Men's Clothing,18,234
43935,East,Children's Clothing,12,264
44140,North,Children's Clothing,31,434
44042,North,Children's Clothing,10,210
44092,West,Men's Clothing,22,440
44148,East,Children's Clothing,3,72
44033,North,Men's Clothing,,665
43894,East,Women's Clothing,4,116
44035,North,Children's Clothing,31,620
44178,South,Women's Clothing,26,416
43940,East,Women's Clothing,24,672
44079,East,Children's Clothing,34,1020
43958,East,Women's Clothing,5,100
44102,East,Men's Clothing,16,480
43915,North,Men's Clothing,,928
43906,East,Children's Clothing,25,525
44121,East,Children's Clothing,29,377
43971,West,Women's Clothing,13,416
43865,East,Men's Clothing,25,700
44053,East,Women's Clothing,11,143
44048,East,Children's Clothing,28,336
44099,North,Children's Clothing,33,1023
43919,South,Men's Clothing,18,216
43851,North,Children's Clothing,24,408
44142,North,Women's Clothing,4,116
43980,East,Women's Clothing,10,270
44089,East,Men's Clothing,26,728
44193,East,Children's Clothing,3,78
43884,South,Men's Clothing,24,624
44040,North,Children's Clothing,19,285
43948,West,Children's Clothing,25,600
44102,South,Men's Clothing,21,609
44162,West,Children's Clothing,28,700
43955,North,Women's Clothing,19,247
44032,West,Men's Clothing,27,324
43866,West,Children's Clothing,27,297
44171,East,Children's Clothing,27,702
44030,North,Men's Clothing,,350
43951,North,Women's Clothing,21,525
44114,West,Women's Clothing,8,232
44163,North,Women's Clothing,29,580
43864,West,Men's Clothing,26,416
43864,East,Men's Clothing,15,720
44078,North,Children's Clothing,3,184
43837,West,Women's Clothing,3,350
43922,West,Children's Clothing,13,240
44163,North,Children's Clothing,11,170
44179,North,Women's Clothing,7,418
43968,West,Women's Clothing,29,154
43840,East,Women's Clothing,19,52
43873,East,Women's Clothing,3,330
44000,East,Children's Clothing,28,162
43991,North,Women's Clothing,26,644
44025,North,Children's Clothing,34,575
44086,North,Men's Clothing,,529
43936,East,Children's Clothing,31,520
44023,West,Women's Clothing,4,459
43968,South,Women's Clothing,17,90
43931,East,Men's Clothing,14,420
43978,East,Women's Clothing,26,63
43991,East,Men's Clothing,30,640
43983,North,Women's Clothing,27,495
43936,East,Women's Clothing,17,84
